periode_data;wilayah;kecamatan;kelurahan;frekuensi;Gas;Lainnya;Lilin;Listrik;Membakar Sampah;Rokok
2024;Kota Adm. Jakarta Barat;Cengkareng;Cengkareng Barat;19;1;0;0;14;0;4
2024;Kota Adm. Jakarta Barat;Cengkareng;Cengkareng Timur;18;1;1;0;12;2;2
2024;Kota Adm. Jakarta Barat;Cengkareng;Duri Kosambi;9;1;2;0;5;1;0
2024;Kota Adm. Jakarta Barat;Cengkareng;Kapuk;14;1;4;0;8;1;0
2024;Kota Adm. Jakarta Barat;Cengkareng;Kedaung Kali Angke;12;0;5;1;4;1;1
2024;Kota Adm. Jakarta Barat;Cengkareng;Rawa Buaya;13;0;3;0;6;4;0
2024;Kota Adm. Jakarta Barat;Grogol Petamburan;Grogol;6;0;2;0;3;1;0
2024;Kota Adm. Jakarta Barat;Grogol Petamburan;Jelambar;8;2;0;0;5;0;1
2024;Kota Adm. Jakarta Barat;Grogol Petamburan;Jelambar Baru;11;1;2;1;6;1;0
2024;Kota Adm. Jakarta Barat;Grogol Petamburan;Tanjung Duren Selatan;3;0;1;0;2;0;0
2024;Kota Adm. Jakarta Barat;Grogol Petamburan;Tanjung Duren Utara;7;1;1;0;4;1;0
2024;Kota Adm. Jakarta Barat;Grogol Petamburan;Tomang;9;1;1;0;6;1;0
2024;Kota Adm. Jakarta Barat;Grogol Petamburan;Wijaya Kusuma;8;1;0;0;7;0;0
2024;Kota Adm. Jakarta Barat;Kalideres;Kalideres;10;0;1;0;6;3;0
2024;Kota Adm. Jakarta Barat;Kalideres;Kamal;22;0;7;0;5;9;1
2024;Kota Adm. Jakarta Barat;Kalideres;Pegadungan;21;0;5;1;11;3;1
2024;Kota Adm. Jakarta Barat;Kalideres;Semanan;6;1;2;0;1;2;0
2024;Kota Adm. Jakarta Barat;Kalideres;Tegal Alur;19;1;5;0;12;1;0
2024;Kota Adm. Jakarta Barat;Kebon jeruk;Duri Kepa;13;2;1;0;7;3;0
2024;Kota Adm. Jakarta Barat;Kebon jeruk;Kebon jeruk;13;2;2;0;6;1;2
2024;Kota Adm. Jakarta Barat;Kebon jeruk;Kedoya Selatan;26;1;2;0;10;9;4
2024;Kota Adm. Jakarta Barat;Kebon jeruk;Kedoya Utara;7;0;0;0;6;0;1
2024;Kota Adm. Jakarta Barat;Kebon jeruk;Kelapa Dua;4;0;0;0;4;0;0
2024;Kota Adm. Jakarta Barat;Kebon jeruk;Sukabumi Selatan;7;1;0;0;4;1;1
2024;Kota Adm. Jakarta Barat;Kebon jeruk;Sukabumi Utara;8;1;0;0;7;0;0
2024;Kota Adm. Jakarta Barat;Kembangan;Joglo;16;3;2;0;9;2;0
2024;Kota Adm. Jakarta Barat;Kembangan;Kembangan Selatan;19;3;1;0;11;3;1
2024;Kota Adm. Jakarta Barat;Kembangan;Kembangan Utara;8;2;1;0;4;1;0
2024;Kota Adm. Jakarta Barat;Kembangan;Meruya Selatan;6;1;1;0;2;2;0
2024;Kota Adm. Jakarta Barat;Kembangan;Meruya Utara;13;1;5;0;5;1;1
2024;Kota Adm. Jakarta Barat;Kembangan;Srengseng;4;1;0;0;2;1;0
2024;Kota Adm. Jakarta Barat;Palmerah;Jati Pulo;7;1;1;0;4;0;1
2024;Kota Adm. Jakarta Barat;Palmerah;Kemanggisan;4;0;0;0;3;0;1
2024;Kota Adm. Jakarta Barat;Palmerah;Kota Bambu Selatan;3;1;0;0;2;0;0
2024;Kota Adm. Jakarta Barat;Palmerah;Kota Bambu Utara;4;1;0;0;3;0;0
2024;Kota Adm. Jakarta Barat;Palmerah;Palmerah;12;2;3;0;6;0;1
2024;Kota Adm. Jakarta Barat;Palmerah;Slipi;6;0;0;0;6;0;0
2024;Kota Adm. Jakarta Barat;Taman Sari;Glodok;2;0;1;0;0;0;1
2024;Kota Adm. Jakarta Barat;Taman Sari;Keagungan;6;2;0;0;4;0;0
2024;Kota Adm. Jakarta Barat;Taman Sari;Krukut;3;0;0;0;2;0;1
2024;Kota Adm. Jakarta Barat;Taman Sari;Mangga Besar;4;0;1;0;2;1;0
2024;Kota Adm. Jakarta Barat;Taman Sari;Maphar;5;0;1;0;3;0;1
2024;Kota Adm. Jakarta Barat;Taman Sari;Pinangsia;4;1;1;0;1;1;0
2024;Kota Adm. Jakarta Barat;Taman Sari;Taman Sari;4;0;1;0;2;0;1
2024;Kota Adm. Jakarta Barat;Taman Sari;Tangki;9;2;0;0;7;0;0
2024;Kota Adm. Jakarta Barat;Tambora;Angke;5;0;0;0;4;0;1
2024;Kota Adm. Jakarta Barat;Tambora;Duri Selatan;8;0;1;0;7;0;0
2024;Kota Adm. Jakarta Barat;Tambora;Duri Utara;3;0;0;0;3;0;0
2024;Kota Adm. Jakarta Barat;Tambora;Jembatan besi;4;1;0;0;3;0;0
2024;Kota Adm. Jakarta Barat;Tambora;Kali Anyar;4;2;0;0;2;0;0
2024;Kota Adm. Jakarta Barat;Tambora;Krendang;4;0;1;0;2;0;1
2024;Kota Adm. Jakarta Barat;Tambora;Pekojan;9;3;0;0;4;1;1
2024;Kota Adm. Jakarta Barat;Tambora;Roa Malaka;4;1;0;0;3;0;0
2024;Kota Adm. Jakarta Barat;Tambora;Tambora;2;0;0;0;2;0;0
2024;Kota Adm. Jakarta Barat;Tambora;Tanah Sereal;7;0;1;0;6;0;0
2024;Kota Adm. Jakarta Pusat;Cempaka Putih;Cempaka Putih Barat;12;2;1;0;9;0;0
2024;Kota Adm. Jakarta Pusat;Cempaka Putih;Cempaka Putih Timur;8;0;1;0;6;1;0
2024;Kota Adm. Jakarta Pusat;Cempaka Putih;Rawasari;4;1;1;0;2;0;0
2024;Kota Adm. Jakarta Pusat;Gambir;Cideng;6;0;1;0;4;0;1
2024;Kota Adm. Jakarta Pusat;Gambir;Duri Pulo;4;2;0;0;2;0;0
2024;Kota Adm. Jakarta Pusat;Gambir;Gambir;3;0;0;0;3;0;0
